Number of Vertices,Edge Probability,Average Edges,Average Opperations,Differance of Expected and Counted as a Ratio
410,0.9999999999999999,168100.0,172609.0,1.024324965877396
420,0.9999999999999999,176400.0,181019.0,1.0237473136523019
430,0.9999999999999999,184900.0,189629.0,1.0231964603679922
440,0.9999999999999999,193600.0,198439.0,1.022670583384869
450,0.9999999999999999,202500.0,207449.0,1.0221680216802167
460,0.9999999999999999,211600.0,216659.0,1.021687258323116
470,0.9999999999999999,220900.0,226069.0,1.0212269051813705
480,0.9999999999999999,230400.0,235679.0,1.0207856895356895
490,0.9999999999999999,240100.0,245489.0,1.0203624423292739
500,0.9999999999999999,250000.0,255499.0,1.0199560878243512
