Number of Vertices,Edge Probability,Average Edges,Average Opperations,Differance of Expected and Counted as a Ratio
170,0.2,5779.577,7648.577,1.2855665201072277
180,0.2,6480.1682,8459.1682,1.2701132983398227
190,0.2,7219.9556,9308.9556,1.2562768392296437
200,0.2,8000.4789,10199.4789,1.2437662512612526
210,0.2,8819.674,11128.674,1.2324557896553077
220,0.2,9678.8948,12097.8948,1.222146011694154
230,0.2,10580.3373,13109.3373,1.2126668147533195
240,0.2,11520.5677,14159.5677,1.2039867514218723
250,0.2,12499.0263,15248.0263,1.1960149693941724
260,0.2,13520.5053,16379.5053,1.1885997605617553
270,0.2,14580.0181,17549.0181,1.1817506202231498
280,0.2,15681.6046,18760.6046,1.1753583095273514
290,0.2,16819.8687,20008.8687,1.169434380288377
300,0.2,18000.4003,21299.4003,1.1638761967408986
310,0.2,19221.5794,22630.5794,1.1586661240513914
320,0.2,20480.0519,23999.0519,1.153797693168256
330,0.2,21781.1475,25410.1475,1.1492007594811622
340,0.2,23118.8281,26857.8281,1.144892148299599
350,0.2,24500.7023,28349.7023,1.1408008497208548
360,0.2,25919.9699,29878.9699,1.1369484064743924
370,0.2,27378.1557,31447.1557,1.1333061569926248
380,0.2,28878.0026,33057.0026,1.1298448172261766
390,0.2,30420.3281,34709.3281,1.1265484738541294
400,0.2,31999.772,36398.772,1.12342679448485
410,0.2,33620.8234,38129.8234,1.120449627439811
420,0.2,35280.1747,39899.1747,1.1176184720463007
430,0.2,36979.5891,41708.5891,1.1149170601288427
440,0.2,38718.0788,43557.0788,1.1123395257072723
450,0.2,40499.5089,45448.5089,1.1098670074648929
460,0.2,42320.7139,47379.7139,1.1075017123545476
470,0.2,44180.2935,49349.2935,1.105240069698534
480,0.2,46081.8666,51360.8666,1.1030671738576734
490,0.2,48019.2754,53408.2754,1.1009909952190298
500,0.2,49999.2411,55498.2411,1.0989915866280215
10,0.30000000000000004,30.0303,138.5549,3.461250602668479
20,0.30000000000000004,119.9343,338.912,2.4219365802380115
30,0.30000000000000004,270.1756,599.1744,1.9960796280577104
40,0.30000000000000004,480.1775,919.1774,1.7670456719100691
50,0.30000000000000004,750.2636,1299.2636,1.6235445420733867
60,0.30000000000000004,1080.0298,1739.0298,1.5254248617009836
70,0.30000000000000004,1469.6763,2238.6763,1.4539915305574296
